Period,AE_Attend_Type1,AE_Attend_Type2,AE_Attend_Type3,AE_Total_Attend,AE_Admission_Type1 ,AE_Admission_Type2,AE_Admission_Type3,AE_Admission_Total,Other_Emergency_Admissions,Total Emergency Admissions,4to12hrs_Admission,More12hrAdmission
Jul-18," 1,365,859 "," 49,846 "," 764,191 "," 2,179,896 "," 390,294 "," 1,523 "," 4,908 "," 396,725 "," 133,207 "," 529,932 "," 42,823 ", 149 
Aug-18," 1,252,767 "," 49,117 "," 695,970 "," 1,997,854 "," 382,863 "," 1,508 "," 4,703 "," 389,074 "," 128,225 "," 517,299 "," 40,214 ", 162 
Sep-18," 1,269,088 "," 47,622 "," 688,985 "," 2,005,695 "," 379,951 "," 1,389 "," 4,635 "," 385,975 "," 124,347 "," 510,322 "," 44,582 ", 154 
Oct-18," 1,320,032 "," 51,282 "," 708,178 "," 2,079,492 "," 398,478 "," 1,703 "," 4,913 "," 405,094 "," 140,928 "," 546,022 "," 49,014 ", 214 
Nov-18," 1,305,353 "," 48,465 "," 684,029 "," 2,037,847 "," 397,128 "," 1,698 "," 4,690 "," 403,516 "," 141,841 "," 545,357 "," 54,373 ", 259 
Dec-18," 1,307,359 "," 43,072 "," 697,087 "," 2,047,518 "," 407,286 "," 1,565 "," 4,781 "," 413,632 "," 131,271 "," 544,903 "," 59,805 ", 284 
Jan-19," 1,344,354 "," 47,616 "," 721,443 "," 2,113,413 "," 414,698 "," 1,680 "," 5,095 "," 421,473 "," 142,562 "," 564,035 "," 83,554 ", 627 
Feb-19," 1,234,328 "," 44,183 "," 676,436 "," 1,954,947 "," 370,476 "," 1,645 "," 5,381 "," 377,502 "," 128,220 "," 505,722 "," 70,815 ", 521 
Mar-19," 1,373,061 "," 50,490 "," 744,000 "," 2,167,551 "," 409,617 "," 1,730 "," 4,617 "," 415,964 "," 139,493 "," 555,457 "," 59,510 ", 331 
Apr-19," 1,330,825 "," 49,281 "," 732,059 "," 2,112,165 "," 398,802 "," 1,787 "," 4,850 "," 405,439 "," 129,787 "," 535,226 "," 66,933 ", 442 
May-19," 1,369,332 "," 50,642 "," 752,032 "," 2,172,006 "," 406,065 "," 2,145 "," 4,631 "," 412,841 "," 134,541 "," 547,382 "," 61,507 ", 416 
Jun-19," 1,334,137 "," 49,233 "," 724,617 "," 2,107,987 "," 392,446 "," 1,528 "," 4,696 "," 398,670 "," 130,131 "," 528,801 "," 57,671 ", 462 
